,embedding_dim,use_drop_out,kernel_regularizer_GRU,kernel_regularizer_Dense,num_GRU_layers,train_loss,val_loss,train_accuracy,val_accuracy,train_recall,val_recall
0,256,False,,,2,0.07665655016899109,0.223404660820961,0.9713914394378662,0.9363636374473572,0.9648894667625427,0.9285714030265808
1,256,False,,,3,0.10162964463233948,0.24048103392124176,0.9644560217857361,0.93376624584198,0.9566536545753479,0.9259740114212036
2,256,False,,l2,2,0.15394817292690277,0.31729525327682495,0.9700910449028015,0.9246753454208374,0.9622886776924133,0.9194805026054382
3,256,False,,l2,3,0.14957255125045776,0.2825373411178589,0.9692240953445435,0.9376623630523682,0.9622886776924133,0.9363636374473572
4,256,False,l2,,2,0.15015468001365662,0.3366863429546356,0.9657564163208008,0.9155844449996948,0.9583874940872192,0.9077922105789185
5,256,False,l2,,3,0.20777173340320587,0.3614620864391327,0.9557867646217346,0.9064934849739075,0.9475509524345398,0.9051948189735413
6,256,False,l2,l2,2,0.25445783138275146,0.4166164696216583,0.9631556272506714,0.9194805026054382,0.9549198150634766,0.9090909361839294
7,256,False,l2,l2,3,0.3182070851325989,0.4802305996417999,0.9440832138061523,0.9012987017631531,0.9345470070838928,0.8909090757369995
8,256,True,,,2,0.15797549486160278,0.2376040518283844,0.9492847919464111,0.9376623630523682,0.9440832138061523,0.9298701286315918
9,256,True,,,3,0.11400860548019409,0.23852697014808655,0.9657564163208008,0.9415584206581116,0.9596878886222839,0.9350649118423462
10,256,True,,l2,2,0.14031670987606049,0.27858173847198486,0.9722583293914795,0.9389610290527344,0.9674902558326721,0.9363636374473572
11,256,True,,l2,3,0.15424250066280365,0.28006649017333984,0.9687906503677368,0.9415584206581116,0.9657564163208008,0.932467520236969
12,256,True,l2,,2,0.1663120985031128,0.47433412075042725,0.9657564163208008,0.8987013101577759,0.9579540491104126,0.8922078013420105
13,256,True,l2,,3,0.2837381362915039,0.4649410843849182,0.9458170533180237,0.9038960933685303,0.9371477961540222,0.8870129585266113
14,256,True,l2,l2,2,0.27661311626434326,0.38814082741737366,0.9579540491104126,0.9246753454208374,0.9523190259933472,0.9155844449996948
15,256,True,l2,l2,3,0.33693185448646545,0.4621810019016266,0.941482424736023,0.9116883277893066,0.9336801171302795,0.9077922105789185
